"page","name","slug","minReward","maxReward","scopeRank","access","isPrivate","serviceLevel","industry"
"1","OpenSea Managed Bug Bounty Program","opensea","$125","$3,000,000","4","open","False","Platform","Computer Software"
"1","Fireblocks MPC Managed Bug Bounty Engagement","fireblocks-mbb-og2","$200","$150,000","1","open","False","Platform","Computer Software"
"1","T-Mobile","t-mobile","Points","$133,700","4","open","False","Platform","Utilities"
"1","SpaceX/Starlink","spacex","Points","$100,000","1","open","False","Self-managed","Technology"
"1","Tesla","tesla","$100","$100,000","4","open","False","Platform","Automotive"
"1","Sophos","sophos","$100","$80,000","4","open","False","Platform","Computer Software"
"1","Okta","okta","$100","$75,000","4","open","False","Priority Triage","Cloud"
"1","Auth0 by Okta","auth0-okta","$100","$50,000","4","open","False","Priority Triage","Cloud"
"1","AXIS OS","axis-os-public","$500","$40,000","1","open","False","Platform","Technology"
"1","Aiven Managed Bug Bounty","aiven-mbb-og","$50","$25,000","3","open","False","Priority Triage","Computer Software"
"1","Bullish Exchange","bullish-exchange","$200","$25,000","1","open","False","Platform","Finance"
"1","Kiteworks","kiteworks-public","$250","$25,000","1","open","False","P1 24/7","Computer Software"
"1","Pinterest","pinterest","$200","$25,000","4","open","False","Platform","Media"
"1","Hypixel Studios Managed Bug Bounty Engagement","hypixel-studios-mbb-og","$300","$25,000","3","open","False","Platform","Games"
"1","SAP Invitational Bug Bounty Program","sap-private-invite","$250","$20,000","3","open","False","Platform","Computer Software"
"1","Chime Managed Bug Bounty Engagement","chime","$50","$20,000","4","open","False","Platform","Finance"
"1","FIS","fis","Points","$20,000","1","open","False","Platform","Finance"
"1","Square","square","Points","$18,000","3","open","False","Platform","Finance"
"1","Cash App","cashapp","$100","$18,000","1","open","False","Platform","Finance"
"1","Fivetran","fivetran-mbb-og","Points","$15,000","1","open","False","Platform","Computer Software"
"1","KuCoin Managed Bug Bounty Program","kucoin","$20","$15,000","1","open","False","Platform","Finance"
"1","Bitpanda Ongoing Bug Bounty","bitpanda-og-bb","$100","$15,000","4","open","False","Platform","Finance"
"1","eToro Managed Bug Bounty Engagement","etoro-mbb-og","$100","$15,000","3","open","False","Priority Triage","Finance"
"1","Canva","canva","$200","$15,000","4","open","False","Platform",
"2","Bitdefender","bitdefender","$100","$15,000","1","open","False","Platform","Computer Software"
"2","Atlassian","atlassian","$100","$12,000","4","open","False","Platform","Computer Software"
"2","Bullish.com","bullish","$200","$12,000","1","open","False","Platform","Finance"
"2","Trello","trello","$250","$12,000","4","open","False","Platform","Technology"
"2","Electroneum Legacy Blockchain: EOL","legacy-blockchain-mbb-og","$200","$12,000","1","open","False","Platform","Technology"
"2","Electroneum Smart Chain (ETN-SC) ??? EVM-Compatible Blockchain","smartchain-mbb-og","$200","$12,000","1","open","False","Platform","Technology"
"2","Fireblocks Web Managed Bug Bounty Engagement","fireblocks-mbb-og","$20","$12,000","1","open","False","Platform","Computer Software"
"2","Verisign Bug Bounty","verisign","$100","$10,000","4","open","False","Platform","Technology"
"2","SEEK ","seek","$50","$10,000","4","open","False","Platform","Technology"
"2","Etsy","etsy","$50","$10,000","4","open","False","Platform","eCommerce"
"2","Bugcrowd","bugcrowd","$100","$10,000","2","open","False","Platform","Technology"
"2","Blockchain.com Managed Bug Bounty Engagement","blockchain-dot-com","$100","$10,000","2","open","False","Platform","Technology"
"2","Immutable Bug Bounty","immutable","$25","$10,000","2","open","False","Platform","Computer Software"
"2","Keeper Security Public Bounty Program","keepersecurity","$300","$10,000","4","open","False","Platform","Computer Software"
"2","Indeed","indeed","$50","$10,000","4","open","False","Platform","Technology"
"2","Binance","binance","$200","$10,000","4","open","False","Platform","Finance"
"2","Cisco Networking","cisconetworking","$100","$10,000","4","open","False","Priority Triage","Electronics"
"2","Orderly Network: Bug Bounty Program","orderlynetwork-mbb-og","$200","$9,000","1","open","False","Platform","Technology"
"2","Orderly Network Public Managed Bug Bounty Engagement","orderlynetwork-mbb-og2","$200","$9,000","1","open","False","Platform",
"2","Skyscanner","skyscanner","$100","$8,000","4","open","False","Platform","Consumer Services"
"2","lululemon","lululemon","$50","$8,000","3","open","False","Platform","Retail"
"2","HotDoc","hotdoc","$50","$8,000","1","open","False","Platform","Healthcare"
"2","CoinDesk.com","coindesk-mbb-og","$250","$7,500","1","open","False","Platform","Technology"
"2","Lightspeed Retail","lightspeed-retail","$250","$7,500","3","open","False","Platform","Retail"
"3","CoinDesk Data - Data API ","CCData-mbb-og","$250","$7,500","1","open","False","Platform","Technology"
"3","Rapyd","rapyd","$100","$7,500","4","open","False","Platform","Finance"
"3","Safety Bug Bounty","openai-safety","$250","$7,500","1","open","False","Priority Triage","Computer Software"
"3","Monash University Bug Bounty","monash-mbb","$50","$7,500","4","open","False","Platform","Education"
"3","Consensus by CoinDesk","consensus-mbb-og","$250","$7,500","1","open","False","Platform","Technology"
"3","Luno Bug Bounty Program","luno-og","$100","$7,500","3","open","False","Platform","Finance"
"3","Latitude Financial Services Bug Bounty ","latitude-financial-service-bugbounty","$150","$7,500","4","open","False","Platform","Finance"
"3","CoinDesk Mobile","coindesk-mobile-mbb-og","$250","$7,500","1","open","False","Platform","Technology"
"3","Lightspeed Hospitality","lightspeed-hospitality","$250","$7,500","1","open","False","Platform","Computer Software"
"3","Bitso Managed Bug Bounty Engagement","bitso-mbb-og","$50","$7,500","2","open","False","Platform","Finance"
"3","MGM China Holdings Limited Managed Bug Bounty Program","mgmmacau-mbb-og","$250","$7,500","4","open","False","Platform","Hospitality"
"3","Linktree","linktree-mbb-og","$25","$7,500","4","open","False","Platform","Technology"
"3","LaunchDarkly Managed Bug Bounty Engagement","launchdarkly-mbb-og","$150","$7,500","2","open","False","Platform","Computer Software"
"3","Centers for Medicare & Medicaid Services - Public Bug Bounty Program 2026","cms-bbpublic","$250","$7,000","2","open","False","Priority Triage",
"3","Lime","lime","$150","$7,000","4","open","False","Platform","Transportation"
"3","MATLAB Online - Ongoing Bug Bounty Engagement","matlab-online","$200","$7,000","1","open","False","Platform","Computer Software"
"3","Moovit Managed Bug Bounty Program","moovit-mbb-og","$100","$7,000","1","open","False","Platform","Utilities"
"3","Glassdoor Managed Bug Bounty Engagement","glassdoor-ogbb","$50","$7,000","4","open","False","Platform","Consumer Services"
"3","Entain Game Logic Flaws Bug Bounty Program","entain-glf-mbb-og","Points","$6,500","2","open","False","Platform","Entertainment"
"3","OpenAI","openai","$50","$6,500","3","open","False","Priority Triage","Technology"
"3","Asana","asana","$100","$6,500","4","open","False","Platform","Computer Software"
"3","Backblaze","backblaze","$500","$6,500","3","open","False","Platform","Cloud"
"3","OneTrust","onetrust","$300","$6,500","1","open","False","P1 24/7","Computer Software"
"3","Bolt Technology O??","bolt-og","$150","$6,500","2","open","False","Platform","Technology"
